protocol_type,service,flag,src_bytes,dst_bytes,class,risk_score,ThreatCategory,Priority,anomaly_pred
tcp,ftp_data,SF,491,0,normal,13.932338,Informational,P4-Low,0
udp,other,SF,146,0,normal,41.747288,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,15.460136,Informational,P4-Low,0
tcp,http,SF,232,8153,normal,18.139076,Informational,P4-Low,0
tcp,http,SF,199,420,normal,2.208377,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,42.081097,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,12.242336,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,12.242512,Informational,P4-Low,0
tcp,remote_job,S0,0,0,anomaly,20.493529,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,10.967042,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,38.916574,Low,P3-Medium,0
tcp,private,S0,0,0,anomaly,13.50431,Informational,P4-Low,0
tcp,http,SF,287,2251,normal,8.998257,Informational,P4-Low,0
tcp,ftp_data,SF,334,0,anomaly,21.214272,Informational,P4-Low,0
tcp,name,S0,0,0,anomaly,19.604969,Informational,P4-Low,0
tcp,netbios_ns,S0,0,0,anomaly,16.102172,Informational,P4-Low,0
tcp,http,SF,300,13788,normal,11.349968,Informational,P4-Low,0
icmp,eco_i,SF,18,0,anomaly,35.872235,Low,P3-Medium,0
tcp,http,SF,233,616,normal,2.638972,Informational,P4-Low,0
tcp,http,SF,343,1178,normal,3.400118,Informational,P4-Low,0
tcp,mtp,S0,0,0,anomaly,18.285051,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,22.193868,Informational,P4-Low,0
tcp,http,SF,253,11905,normal,7.331199,Informational,P4-Low,0
udp,other,SF,147,105,normal,44.371329,Low,P3-Medium,0
tcp,mtp,S0,0,0,anomaly,18.158135,Informational,P4-Low,0
tcp,telnet,SF,437,14421,normal,54.06271,Medium,P2-High,1
tcp,private,S0,0,0,anomaly,13.271234,Informational,P4-Low,0
tcp,http,SF,227,6588,normal,30.868497,Low,P3-Medium,0
tcp,http,SF,215,10499,normal,3.512044,Informational,P4-Low,0
tcp,http,SF,241,1400,normal,3.075262,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,36.928706,Low,P3-Medium,0
tcp,finger,S0,0,0,anomaly,30.798923,Low,P3-Medium,0
tcp,http,SF,303,555,normal,3.295682,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,60.502088,Medium,P2-High,1
udp,domain_u,SF,45,45,normal,15.171151,Informational,P4-Low,0
udp,private,SF,105,147,normal,24.688027,Informational,P4-Low,0
udp,domain_u,SF,43,43,normal,14.576358,Informational,P4-Low,0
tcp,supdup,S0,0,0,anomaly,13.124287,Informational,P4-Low,0
tcp,http,SF,324,2302,normal,2.459771,Informational,P4-Low,0
tcp,uucp_path,S0,0,0,anomaly,15.372826,Informational,P4-Low,0
tcp,ftp_data,S0,0,0,anomaly,34.154561,Low,P3-Medium,0
tcp,Z39_50,S0,0,0,anomaly,19.492974,Informational,P4-Low,0
tcp,smtp,SF,1591,372,normal,23.243088,Informational,P4-Low,0
udp,other,SF,146,105,normal,55.284549,Medium,P2-High,1
tcp,http,SF,290,3006,normal,0.762432,Informational,P4-Low,0
tcp,csnet_ns,S0,0,0,anomaly,17.990277,Informational,P4-Low,0
udp,private,SF,28,0,anomaly,37.14374,Low,P3-Medium,0
tcp,http,SF,255,861,normal,4.444806,Informational,P4-Low,0
tcp,ftp_data,SF,334,0,anomaly,20.002063,Informational,P4-Low,0
tcp,ftp_data,S0,0,0,anomaly,16.483165,Informational,P4-Low,0
tcp,http,SF,302,498,normal,1.54845,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,37.846977,Low,P3-Medium,0
udp,private,SF,28,0,anomaly,43.049325,Low,P3-Medium,0
tcp,http,SF,220,1398,normal,6.329132,Informational,P4-Low,0
udp,domain_u,SF,43,69,normal,12.731296,Informational,P4-Low,0
udp,domain_u,SF,44,133,normal,31.22473,Low,P3-Medium,0
icmp,eco_i,SF,8,0,anomaly,33.892002,Low,P3-Medium,0
tcp,uucp,S0,0,0,anomaly,13.711098,Informational,P4-Low,0
tcp,finger,S0,0,0,anomaly,30.133849,Low,P3-Medium,0
udp,domain_u,SF,43,43,normal,16.608893,Informational,P4-Low,0
tcp,ftp_data,SF,641,0,normal,11.509116,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,38.153003,Low,P3-Medium,0
tcp,private,REJ,0,0,anomaly,70.745241,Medium,P2-High,1
tcp,http,SF,310,2794,normal,0.700356,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,39.658651,Low,P3-Medium,0
tcp,smtp,SF,696,333,normal,11.981726,Informational,P4-Low,0
tcp,netbios_dgm,RSTR,0,0,anomaly,55.413048,Medium,P2-High,1
tcp,http,S0,0,0,anomaly,33.825857,Low,P3-Medium,0
tcp,netbios_dgm,REJ,0,0,anomaly,37.768663,Low,P3-Medium,0
tcp,supdup,S0,0,0,anomaly,16.082251,Informational,P4-Low,0
tcp,http,SF,221,2878,normal,8.26653,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,15.999352,Informational,P4-Low,0
icmp,urp_i,SF,181,0,normal,39.007427,Low,P3-Medium,0
udp,domain_u,SF,42,42,normal,21.101799,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,11.99431,Informational,P4-Low,0
tcp,ftp_data,SF,12,0,normal,15.387505,Informational,P4-Low,0
tcp,auth,S0,0,0,anomaly,19.960455,Informational,P4-Low,0
tcp,http,SF,210,2790,normal,5.896887,Informational,P4-Low,0
tcp,http,SF,321,5683,normal,2.604521,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,40.660494,Low,P3-Medium,0
tcp,http,SF,329,3982,normal,4.939995,Informational,P4-Low,0
tcp,uucp_path,REJ,0,0,anomaly,40.685824,Low,P3-Medium,0
tcp,domain,S0,0,0,anomaly,20.058753,Informational,P4-Low,0
icmp,eco_i,SF,8,0,anomaly,39.858762,Low,P3-Medium,0
tcp,http,SF,320,379,normal,1.741758,Informational,P4-Low,0
tcp,private,S0,0,0,anomaly,42.315879,Low,P3-Medium,0
tcp,http,SF,225,3762,normal,0.918906,Informational,P4-Low,0
tcp,ftp,S0,0,0,anomaly,18.25026,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,40.629613,Low,P3-Medium,0
udp,other,SF,146,105,normal,49.078638,Low,P3-Medium,1
tcp,http,SF,247,1416,normal,22.278039,Informational,P4-Low,0
tcp,http,SF,353,1483,normal,3.538307,Informational,P4-Low,0
udp,domain_u,SF,44,44,normal,17.401598,Informational,P4-Low,0
tcp,private,REJ,0,0,anomaly,41.032958,Low,P3-Medium,0
tcp,csnet_ns,S0,0,0,anomaly,21.747791,Informational,P4-Low,0
tcp,smtp,SF,3065,331,normal,29.958863,Low,P3-Medium,0
udp,other,SF,102,102,normal,27.633528,Low,P3-Medium,0
tcp,http,SF,259,750,normal,10.126732,Informational,P4-Low,0
udp,other,SF,147,105,normal,31.132906,Low,P3-Medium,0
