Model,Feature,Importance
Gradient Boosting,src_bytes,0.7316
Decision Tree,src_bytes,0.753
Random Forest,src_bytes,0.1758
Gradient Boosting,dst_bytes,0.0738
Decision Tree,dst_bytes,0.0233
Random Forest,dst_bytes,0.1063
Gradient Boosting,flag,0.0026
Decision Tree,flag,0.0
Random Forest,flag,0.0979
Gradient Boosting,dst_host_same_srv_rate,0.0111
Decision Tree,dst_host_same_srv_rate,0.0074
Random Forest,dst_host_same_srv_rate,0.0705
Gradient Boosting,same_srv_rate,0.0001
Decision Tree,same_srv_rate,0.0
Random Forest,same_srv_rate,0.0668
Gradient Boosting,dst_host_srv_count,0.0253
Decision Tree,dst_host_srv_count,0.0513
Random Forest,dst_host_srv_count,0.0602
Gradient Boosting,diff_srv_rate,0.0
Decision Tree,diff_srv_rate,0.0008
Random Forest,diff_srv_rate,0.0441
Gradient Boosting,logged_in,0.0004
Decision Tree,logged_in,0.0103
Random Forest,logged_in,0.0424
Gradient Boosting,count,0.0287
Decision Tree,count,0.0017
Random Forest,count,0.0372
Gradient Boosting,protocol_type,0.0487
Decision Tree,protocol_type,0.0651
Random Forest,protocol_type,0.0372
