protocol_type,service,flag,src_bytes,dst_bytes,risk_score,ThreatCategory,Priority,class
tcp,telnet,SF,4113,51633,100.0,Critical,P1-Critical,anomaly
tcp,telnet,RSTO,737,112155,96.321734,Critical,P1-Critical,normal
tcp,telnet,SF,3555,198172,95.274869,Critical,P1-Critical,normal
tcp,IRC,S3,390,7872,91.397707,Critical,P1-Critical,normal
tcp,ftp,SF,1524,4152,90.83467,Critical,P1-Critical,normal
tcp,telnet,SF,5830,122343,86.837723,Critical,P1-Critical,normal
tcp,ftp,SF,1481,4152,86.504161,Critical,P1-Critical,normal
tcp,telnet,S1,1680,16934,86.432942,Critical,P1-Critical,normal
tcp,finger,S0,0,0,85.425026,Critical,P1-Critical,normal
tcp,telnet,RSTO,5281,14895,85.308754,Critical,P1-Critical,normal
tcp,X11,S0,0,0,85.293101,Critical,P1-Critical,anomaly
tcp,telnet,SF,1154,176690,84.984817,Critical,P1-Critical,normal
tcp,daytime,RSTOS0,0,0,84.937611,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.663869,Critical,P1-Critical,anomaly
tcp,echo,RSTOS0,0,0,84.440301,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.375039,Critical,P1-Critical,anomaly
tcp,efs,S0,0,0,84.205727,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.02938,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.911845,Critical,P1-Critical,anomaly
tcp,http_8001,S0,0,0,83.700134,Critical,P1-Critical,anomaly
tcp,IRC,S1,44788,48103,83.563958,Critical,P1-Critical,normal
tcp,telnet,S1,167,19827,83.439376,Critical,P1-Critical,normal
tcp,other,REJ,0,0,83.30508,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.163518,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.163518,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.163518,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.163518,Critical,P1-Critical,anomaly
tcp,IRC,RSTR,115,1567,83.153528,Critical,P1-Critical,normal
tcp,other,REJ,0,0,83.048634,Critical,P1-Critical,anomaly
tcp,netbios_ns,S0,0,0,82.967999,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.930039,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,82.911016,Critical,P1-Critical,anomaly
tcp,telnet,SF,798,276683,82.83023,Critical,P1-Critical,normal
tcp,other,REJ,0,0,82.738052,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.660839,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.596913,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.596913,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.596913,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.596913,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.469126,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.405264,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.405264,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.360859,Critical,P1-Critical,anomaly
tcp,other,S0,0,0,82.353047,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.3267,Critical,P1-Critical,anomaly
tcp,telnet,SF,1412,25260,82.323514,Critical,P1-Critical,anomaly
tcp,IRC,RSTR,863,8724,82.298773,Critical,P1-Critical,normal
tcp,other,S0,0,0,82.289225,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.246462,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.233232,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.233232,Critical,P1-Critical,anomaly
tcp,systat,RSTOS0,0,0,82.209757,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.16945,Critical,P1-Critical,anomaly
