Feature,Correlation,Abs_Correlation
same_srv_rate,0.7492371722662281,0.749237
dst_host_srv_count,0.7192917059377081,0.719292
dst_host_same_srv_rate,0.6922118171088228,0.692212
logged_in,0.6880839013906296,0.688084
dst_host_srv_serror_rate,0.6537592161775146,0.653759
dst_host_serror_rate,0.651049910844361,0.65105
serror_rate,0.6499521512742652,0.649952
srv_serror_rate,0.6478174267667888,0.647817
count,0.5787898206691433,0.57879
dst_host_count,0.36882807985732313,0.368828
dst_host_srv_rerror_rate,0.25699896668480354,0.256999
rerror_rate,0.2568581292271314,0.256858
