Feature_A,Feature_B,Correlation,Abs_Correlation
same_srv_rate,same_srv_rate,1.0,1.0
dst_host_srv_count,same_srv_rate,0.703,0.703
dst_host_same_srv_rate,same_srv_rate,0.787,0.787
logged_in,same_srv_rate,0.6,0.6
dst_host_srv_serror_rate,same_srv_rate,-0.767,0.767
dst_host_serror_rate,same_srv_rate,-0.764,0.764
serror_rate,same_srv_rate,-0.765,0.765
srv_serror_rate,same_srv_rate,-0.759,0.759
count,same_srv_rate,-0.632,0.632
dst_host_count,same_srv_rate,-0.508,0.508
dst_host_srv_rerror_rate,same_srv_rate,-0.214,0.214
rerror_rate,same_srv_rate,-0.208,0.208
same_srv_rate,dst_host_srv_count,0.703,0.703
dst_host_srv_count,dst_host_srv_count,1.0,1.0
dst_host_same_srv_rate,dst_host_srv_count,0.896,0.896
logged_in,dst_host_srv_count,0.625,0.625
dst_host_srv_serror_rate,dst_host_srv_count,-0.568,0.568
dst_host_serror_rate,dst_host_srv_count,-0.573,0.573
serror_rate,dst_host_srv_count,-0.558,0.558
srv_serror_rate,dst_host_srv_count,-0.555,0.555
count,dst_host_srv_count,-0.4,0.4
dst_host_count,dst_host_srv_count,-0.299,0.299
dst_host_srv_rerror_rate,dst_host_srv_count,-0.255,0.255
rerror_rate,dst_host_srv_count,-0.251,0.251
same_srv_rate,dst_host_same_srv_rate,0.787,0.787
dst_host_srv_count,dst_host_same_srv_rate,0.896,0.896
dst_host_same_srv_rate,dst_host_same_srv_rate,1.0,1.0
logged_in,dst_host_same_srv_rate,0.607,0.607
dst_host_srv_serror_rate,dst_host_same_srv_rate,-0.633,0.633
dst_host_serror_rate,dst_host_same_srv_rate,-0.641,0.641
serror_rate,dst_host_same_srv_rate,-0.625,0.625
srv_serror_rate,dst_host_same_srv_rate,-0.621,0.621
count,dst_host_same_srv_rate,-0.477,0.477
dst_host_count,dst_host_same_srv_rate,-0.519,0.519
dst_host_srv_rerror_rate,dst_host_same_srv_rate,-0.263,0.263
rerror_rate,dst_host_same_srv_rate,-0.259,0.259
same_srv_rate,logged_in,0.6,0.6
dst_host_srv_count,logged_in,0.625,0.625
dst_host_same_srv_rate,logged_in,0.607,0.607
logged_in,logged_in,1.0,1.0
dst_host_srv_serror_rate,logged_in,-0.492,0.492
dst_host_serror_rate,logged_in,-0.49,0.49
serror_rate,logged_in,-0.492,0.492
srv_serror_rate,logged_in,-0.49,0.49
count,logged_in,-0.54,0.54
dst_host_count,logged_in,-0.396,0.396
dst_host_srv_rerror_rate,logged_in,-0.271,0.271
rerror_rate,logged_in,-0.284,0.284
same_srv_rate,dst_host_srv_serror_rate,-0.767,0.767
dst_host_srv_count,dst_host_srv_serror_rate,-0.568,0.568
dst_host_same_srv_rate,dst_host_srv_serror_rate,-0.633,0.633
logged_in,dst_host_srv_serror_rate,-0.492,0.492
dst_host_srv_serror_rate,dst_host_srv_serror_rate,1.0,1.0
dst_host_serror_rate,dst_host_srv_serror_rate,0.985,0.985
serror_rate,dst_host_srv_serror_rate,0.98,0.98
srv_serror_rate,dst_host_srv_serror_rate,0.985,0.985
count,dst_host_srv_serror_rate,0.465,0.465
dst_host_count,dst_host_srv_serror_rate,0.407,0.407
dst_host_srv_rerror_rate,dst_host_srv_serror_rate,-0.232,0.232
rerror_rate,dst_host_srv_serror_rate,-0.227,0.227
same_srv_rate,dst_host_serror_rate,-0.764,0.764
dst_host_srv_count,dst_host_serror_rate,-0.573,0.573
dst_host_same_srv_rate,dst_host_serror_rate,-0.641,0.641
logged_in,dst_host_serror_rate,-0.49,0.49
dst_host_srv_serror_rate,dst_host_serror_rate,0.985,0.985
dst_host_serror_rate,dst_host_serror_rate,1.0,1.0
serror_rate,dst_host_serror_rate,0.978,0.978
srv_serror_rate,dst_host_serror_rate,0.976,0.976
count,dst_host_serror_rate,0.464,0.464
dst_host_count,dst_host_serror_rate,0.41,0.41
dst_host_srv_rerror_rate,dst_host_serror_rate,-0.228,0.228
rerror_rate,dst_host_serror_rate,-0.227,0.227
same_srv_rate,serror_rate,-0.765,0.765
dst_host_srv_count,serror_rate,-0.558,0.558
dst_host_same_srv_rate,serror_rate,-0.625,0.625
logged_in,serror_rate,-0.492,0.492
dst_host_srv_serror_rate,serror_rate,0.98,0.98
dst_host_serror_rate,serror_rate,0.978,0.978
serror_rate,serror_rate,1.0,1.0
srv_serror_rate,serror_rate,0.993,0.993
count,serror_rate,0.463,0.463
dst_host_count,serror_rate,0.395,0.395
dst_host_srv_rerror_rate,serror_rate,-0.226,0.226
rerror_rate,serror_rate,-0.228,0.228
same_srv_rate,srv_serror_rate,-0.759,0.759
dst_host_srv_count,srv_serror_rate,-0.555,0.555
dst_host_same_srv_rate,srv_serror_rate,-0.621,0.621
logged_in,srv_serror_rate,-0.49,0.49
dst_host_srv_serror_rate,srv_serror_rate,0.985,0.985
dst_host_serror_rate,srv_serror_rate,0.976,0.976
serror_rate,srv_serror_rate,0.993,0.993
srv_serror_rate,srv_serror_rate,1.0,1.0
count,srv_serror_rate,0.456,0.456
dst_host_count,srv_serror_rate,0.393,0.393
dst_host_srv_rerror_rate,srv_serror_rate,-0.232,0.232
rerror_rate,srv_serror_rate,-0.229,0.229
same_srv_rate,count,-0.632,0.632
dst_host_srv_count,count,-0.4,0.4
dst_host_same_srv_rate,count,-0.477,0.477
logged_in,count,-0.54,0.54
dst_host_srv_serror_rate,count,0.465,0.465
dst_host_serror_rate,count,0.464,0.464
serror_rate,count,0.463,0.463
srv_serror_rate,count,0.456,0.456
count,count,1.0,1.0
dst_host_count,count,0.466,0.466
dst_host_srv_rerror_rate,count,0.167,0.167
rerror_rate,count,0.159,0.159
same_srv_rate,dst_host_count,-0.508,0.508
dst_host_srv_count,dst_host_count,-0.299,0.299
dst_host_same_srv_rate,dst_host_count,-0.519,0.519
logged_in,dst_host_count,-0.396,0.396
dst_host_srv_serror_rate,dst_host_count,0.407,0.407
dst_host_serror_rate,dst_host_count,0.41,0.41
serror_rate,dst_host_count,0.395,0.395
srv_serror_rate,dst_host_count,0.393,0.393
count,dst_host_count,0.466,0.466
dst_host_count,dst_host_count,1.0,1.0
dst_host_srv_rerror_rate,dst_host_count,0.073,0.073
rerror_rate,dst_host_count,0.071,0.071
same_srv_rate,dst_host_srv_rerror_rate,-0.214,0.214
dst_host_srv_count,dst_host_srv_rerror_rate,-0.255,0.255
dst_host_same_srv_rate,dst_host_srv_rerror_rate,-0.263,0.263
logged_in,dst_host_srv_rerror_rate,-0.271,0.271
dst_host_srv_serror_rate,dst_host_srv_rerror_rate,-0.232,0.232
dst_host_serror_rate,dst_host_srv_rerror_rate,-0.228,0.228
serror_rate,dst_host_srv_rerror_rate,-0.226,0.226
srv_serror_rate,dst_host_srv_rerror_rate,-0.232,0.232
count,dst_host_srv_rerror_rate,0.167,0.167
dst_host_count,dst_host_srv_rerror_rate,0.073,0.073
dst_host_srv_rerror_rate,dst_host_srv_rerror_rate,1.0,1.0
rerror_rate,dst_host_srv_rerror_rate,0.965,0.965
same_srv_rate,rerror_rate,-0.208,0.208
dst_host_srv_count,rerror_rate,-0.251,0.251
dst_host_same_srv_rate,rerror_rate,-0.259,0.259
logged_in,rerror_rate,-0.284,0.284
dst_host_srv_serror_rate,rerror_rate,-0.227,0.227
dst_host_serror_rate,rerror_rate,-0.227,0.227
serror_rate,rerror_rate,-0.228,0.228
srv_serror_rate,rerror_rate,-0.229,0.229
count,rerror_rate,0.159,0.159
dst_host_count,rerror_rate,0.071,0.071
dst_host_srv_rerror_rate,rerror_rate,0.965,0.965
rerror_rate,rerror_rate,1.0,1.0
