Model,Feature,Importance
Decision Tree,protocol_type,0.0651
Decision Tree,flag,0.0
Decision Tree,src_bytes,0.753
Decision Tree,dst_bytes,0.0233
Decision Tree,logged_in,0.0103
Decision Tree,count,0.0017
Decision Tree,same_srv_rate,0.0
Decision Tree,diff_srv_rate,0.0008
Decision Tree,dst_host_srv_count,0.0513
Decision Tree,dst_host_same_srv_rate,0.0074
Random Forest,protocol_type,0.0372
Random Forest,flag,0.0979
Random Forest,src_bytes,0.1758
Random Forest,dst_bytes,0.1063
Random Forest,logged_in,0.0424
Random Forest,count,0.0372
Random Forest,same_srv_rate,0.0668
Random Forest,diff_srv_rate,0.0441
Random Forest,dst_host_srv_count,0.0602
Random Forest,dst_host_same_srv_rate,0.0705
Gradient Boosting,protocol_type,0.0487
Gradient Boosting,flag,0.0026
Gradient Boosting,src_bytes,0.7316
Gradient Boosting,dst_bytes,0.0738
Gradient Boosting,logged_in,0.0004
Gradient Boosting,count,0.0287
Gradient Boosting,same_srv_rate,0.0001
Gradient Boosting,diff_srv_rate,0.0
Gradient Boosting,dst_host_srv_count,0.0253
Gradient Boosting,dst_host_same_srv_rate,0.0111
