protocol_type,service,flag,src_bytes,dst_bytes,risk_score,ThreatCategory,Priority,class
tcp,telnet,SF,4113,51633,100.0,Critical,P1-Critical,anomaly
tcp,telnet,RSTO,737,112155,96.32173383437801,Critical,P1-Critical,normal
tcp,telnet,SF,3555,198172,95.27486942443774,Critical,P1-Critical,normal
tcp,IRC,S3,390,7872,91.39770716104552,Critical,P1-Critical,normal
tcp,ftp,SF,1524,4152,90.83466965215483,Critical,P1-Critical,normal
tcp,telnet,SF,5830,122343,86.83772298461112,Critical,P1-Critical,normal
tcp,ftp,SF,1481,4152,86.50416056147249,Critical,P1-Critical,normal
tcp,telnet,S1,1680,16934,86.43294235318677,Critical,P1-Critical,normal
tcp,finger,S0,0,0,85.42502570868898,Critical,P1-Critical,normal
tcp,telnet,RSTO,5281,14895,85.30875376106466,Critical,P1-Critical,normal
tcp,X11,S0,0,0,85.29310085552898,Critical,P1-Critical,anomaly
tcp,telnet,SF,1154,176690,84.98481651735136,Critical,P1-Critical,normal
tcp,daytime,RSTOS0,0,0,84.93761131050293,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.66386945272065,Critical,P1-Critical,anomaly
tcp,echo,RSTOS0,0,0,84.44030079461697,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.37503908475956,Critical,P1-Critical,anomaly
tcp,efs,S0,0,0,84.20572684587145,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,84.02937964025529,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.91184517081652,Critical,P1-Critical,anomaly
tcp,http_8001,S0,0,0,83.70013442033517,Critical,P1-Critical,anomaly
tcp,IRC,S1,44788,48103,83.56395838712366,Critical,P1-Critical,normal
tcp,telnet,S1,167,19827,83.43937554257896,Critical,P1-Critical,normal
tcp,other,REJ,0,0,83.30508000723846,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.16351776636213,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.16351776636213,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.16351776636213,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,83.16351776636213,Critical,P1-Critical,anomaly
tcp,IRC,RSTR,115,1567,83.15352811380717,Critical,P1-Critical,normal
tcp,other,REJ,0,0,83.04863383294557,Critical,P1-Critical,anomaly
tcp,netbios_ns,S0,0,0,82.96799860258278,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.93003876372663,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,82.91101607310677,Critical,P1-Critical,anomaly
tcp,telnet,SF,798,276683,82.83023011350808,Critical,P1-Critical,normal
tcp,other,REJ,0,0,82.73805203251386,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.66083923390065,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.59691305930042,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.59691305930042,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.59691305930042,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.59691305930042,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.4691255691765,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.40526423902844,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.40526423902844,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.36085939441392,Critical,P1-Critical,anomaly
tcp,other,S0,0,0,82.35304677442443,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.32670016243266,Critical,P1-Critical,anomaly
tcp,telnet,SF,1412,25260,82.32351402568342,Critical,P1-Critical,anomaly
tcp,IRC,RSTR,863,8724,82.29877320911197,Critical,P1-Critical,normal
tcp,other,S0,0,0,82.28922470629698,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.24646206706487,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.23323156095239,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.23323156095239,Critical,P1-Critical,anomaly
tcp,systat,RSTOS0,0,0,82.20975679436064,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.16945001863665,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.13723391580868,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,82.10569004953098,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.99793820087432,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.97823480176507,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.96051956480785,Critical,P1-Critical,anomaly
tcp,ftp,SF,326,1054,81.88134099236832,Critical,P1-Critical,normal
tcp,telnet,SF,1009,166520,81.8462429893205,Critical,P1-Critical,normal
tcp,other,REJ,0,0,81.743259618899,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.743259618899,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.743259618899,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.70676917355667,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.70589158246399,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.69283546806145,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,81.6267282771324,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.49835152788657,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.48892542794752,Critical,P1-Critical,anomaly
tcp,private,RSTOS0,0,0,81.46417881372012,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.43481854841164,Critical,P1-Critical,anomaly
tcp,telnet,SF,565,111864,81.39188485117722,Critical,P1-Critical,normal
tcp,private,REJ,0,0,81.30920573891716,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.29840051116875,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,81.2314307352596,Critical,P1-Critical,anomaly
tcp,telnet,RSTR,676,23920,81.1243769736275,Critical,P1-Critical,normal
tcp,other,REJ,0,0,81.06396919741663,Critical,P1-Critical,anomaly
tcp,private,SH,0,0,80.97068689124893,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.81055358203561,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.68497310001875,Critical,P1-Critical,anomaly
tcp,private,RSTOS0,0,0,80.62232892500091,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.49730928140377,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,80.34554285752444,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.32757394707694,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,80.28905977436858,Critical,P1-Critical,anomaly
tcp,telnet,S1,145,13236,80.25729346742489,Critical,P1-Critical,normal
tcp,other,S0,0,0,80.18506564593311,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,80.00408517149194,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.90872491126133,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,79.87805135990988,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.80000377254055,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.79449602582652,Critical,P1-Critical,anomaly
tcp,telnet,RSTO,125,179,79.73591990927812,Critical,P1-Critical,anomaly
tcp,smtp,RSTOS0,0,0,79.72606703747628,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.71954083106382,Critical,P1-Critical,anomaly
tcp,discard,REJ,0,0,79.62592348514261,Critical,P1-Critical,anomaly
tcp,private,S0,0,0,79.61845020892446,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.5295845338049,Critical,P1-Critical,anomaly
tcp,other,REJ,0,0,79.5295845338049,Critical,P1-Critical,anomaly
tcp,telnet,SF,427,47657,79.46625205283534,Critical,P1-Critical,normal
